,0,1,2,3,4
230,1150.8552397334724,1030.1397131003712,955.546761673033,861.5496259671901,946.0810579900403
231,1150.855590801391,1030.1401452305238,955.5471373295792,861.5497709810415,946.0813018521721
232,1150.8559384202226,1030.1405781330411,955.5475181084948,861.5499357623685,946.0815575762008
233,1150.8562825027868,1030.1410114573396,955.5479034906801,861.5501191520974,946.0818243373365
234,1150.8566229706105,1030.1414448748853,955.548292985387,861.550320047687,946.0821013536483
235,1150.856959753386,1030.1418780779704,955.5486861287521,861.5505374003324,946.0823878838531
236,1150.8572927884595,1030.1423107785574,955.5490824824083,861.5507702123168,946.0826832252272
237,1150.857622020351,1030.1427427071876,955.5494816321706,861.5510175345008,946.0829867116281
238,1150.8579474003031,1030.1431736119532,955.5498831867912,861.5512784639427,946.0832977116236
239,1150.8582688858542,1030.1436032575243,955.550286776782,861.5515521416424,946.0836156267221
240,1150.8585864404386,1030.1440314242313,955.550692053297,861.5518377504006,946.0839398896967
241,1150.85890003301,1030.1444579071983,955.5510986870764,861.5521345127893,946.0842699629983
242,1150.859209637686,1030.144882515523,955.5515063674447,861.552441689225,946.084605337253
243,1150.8595152334146,1030.1453050715043,955.5519148013606,861.5527585761417,946.0849455298389
244,1150.8598168036592,1030.1457254099107,955.552323712518,861.5530845042558,946.0852900835384
245,1150.8601143361027,1030.1461433772888,955.5527328404934,861.553418836918,946.0856385652593
246,1150.8604078223696,1030.1465588313104,955.5531419399358,861.5537609685503,946.0859905648254
